match_num,date,time,team1,team2,group,stage,venue,score1,score2,status,shots_team1,shots_team2,possession_team1,possession_team2,fouls_team1,fouls_team2,corners_team1,corners_team2,offsides_team1,offsides_team2,yellow_cards_team1,yellow_cards_team2,red_cards_team1,red_cards_team2
1,,15:00,MEX,RSA,,ET-2,,,,scheduled,,,,,,,,,,,,,,
2,,22:00,KOR,CZE,,ET-2,,,,scheduled,,,,,,,,,,,,,,
4,,21:00,USA,PAR,,ET-3,,,,scheduled,,,,,,,,,,,,,,
6,,00:00,AUS,TUR,,ET-3,,,,scheduled,,,,,,,,,,,,,,
8,,15:00,QAT,SUI,,ET-3,,,,scheduled,,,,,,,,,,,,,,
14,,12:00,ESP,CPV,E,Group Stage,,,,scheduled,,,,,,,,,,,,,,
15,,21:00,IRN,NZL,D,Group Stage,,,,scheduled,,,,,,,,,,,,,,
16,,15:00,BEL,EGY,,ET-3,,,,scheduled,,,,,,,,,,,,,,
20,,00:00,AUT,JOR,B,Group Stage,,,,scheduled,,,,,,,,,,,,,,
24,,22:00,UZB,COL,A,Group Stage,,,,scheduled,,,,,,,,,,,,,,
25,,12:00,CZE,RSA,H,Group Stage,,,,scheduled,,,,,,,,,,,,,,
26,,15:00,SUI,BIH,G,Group Stage,,,,scheduled,,,,,,,,,,,,,,
27,,18:00,CAN,QAT,D,Group Stage,,,,scheduled,,,,,,,,,,,,,,
28,,21:00,MEX,KOR,A,Group Stage,,,,scheduled,,,,,,,,,,,,,,
31,,23:00,TUR,PAR,J,Group Stage,,,,scheduled,,,,,,,,,,,,,,
32,,15:00,USA,AUS,G,Group Stage,,,,scheduled,,,,,,,,,,,,,,
38,,12:00,ESP,KSA,I,Group Stage,,,,scheduled,,,,,,,,,,,,,,
39,,15:00,BEL,IRN,B,Group Stage,,,,scheduled,,,,,,,,,,,,,,
40,,21:00,NZL,EGY,B,Group Stage,,,,scheduled,,,,,,,,,,,,,,
44,,23:00,JOR,ALG,D,Group Stage,,,,scheduled,,,,,,,,,,,,,,
48,,22:00,COL,COD,A,Group Stage,,,,scheduled,,,,,,,,,,,,,,
50,,18:00,MAR,HAI,J,Group Stage,,,,scheduled,,,,,,,,,,,,,,
51,,15:00,SUI,CAN,G,Group Stage,,,,scheduled,,,,,,,,,,,,,,
52,,15:00,BIH,QAT,D,Group Stage,,,,scheduled,,,,,,,,,,,,,,
53,,21:00,CZE,MEX,K,Group Stage,,,,scheduled,,,,,,,,,,,,,,
59,,22:00,TUR,USA,G,Group Stage,,,,scheduled,,,,,,,,,,,,,,
60,,22:00,PAR,AUS,J,Group Stage,,,,scheduled,,,,,,,,,,,,,,
63,,23:00,EGY,IRN,B,Group Stage,,,,scheduled,,,,,,,,,,,,,,
64,,23:00,NZL,BEL,B,Group Stage,,,,scheduled,,,,,,,,,,,,,,
66,,20:00,URU,ESP,K,Group Stage,,,,scheduled,,,,,,,,,,,,,,
72,,19:30,COD,UZB,K,Group Stage,,,,scheduled,,,,,,,,,,,,,,
73,,15:00,2A,2B,D,Group Stage,,,,scheduled,,,,,,,,,,,,,,
79,,21:00,1A,W80,A,Group Stage,,,,scheduled,,,,,,,,,,,,,,
80,,12:00,1L,W88,,,,,,scheduled,,,,,,,,,,,,,,
82,,16:00,1G,W82,G,Group Stage,,,,scheduled,,,,,,,,,,,,,,
84,,15:00,1H,2J,,,,,,scheduled,,,,,,,,,,,,,,
85,,23:00,1B,W87,G,Group Stage,,,,scheduled,,,,,,,,,,,,,,
95,,12:00,W86,W100,,,,,,scheduled,,,,,,,,,,,,,,
98,,15:00,W93,W94,,,,,,scheduled,,,,,,,,,,,,,,
