match,date,team,player,card_type,minute,discipline_score
MEX vs RSA,"June 11, 2026",MEX,César Montes,Red,90+2,-5
MEX vs RSA,"June 11, 2026",MEX,Brian Gutiérrez,Yellow,23,-5
MEX vs RSA,"June 11, 2026",MEX,Nkosinathi Sibisi,Yellow,74,-5
MEX vs RSA,"June 11, 2026",MEX,Sphephelo Sithole,Red,49,-5
MEX vs RSA,"June 11, 2026",MEX,Teboho Mokoena,Yellow,17,-5
MEX vs RSA,"June 11, 2026",MEX,Themba Zwane,Red,84,-5
,,,César Montes,Red,90+2,0
,,,Brian Gutiérrez,Yellow,23,0
,,,Nkosinathi Sibisi,Yellow,74,0
,,,Sphephelo Sithole,Red,49,0
,,,Teboho Mokoena,Yellow,17,0
,,,Themba Zwane,Red,84,0
,"June 11, 2026",,Lee Gi-hyuk,Yellow,90+6,0
,,,Lee Gi-hyuk,Yellow,90+6,0
CAN vs BIH,"June 12, 2026",CAN,Alistair Johnston,Yellow,11,-2
CAN vs BIH,"June 12, 2026",CAN,Luc de Fougerolles,Yellow,53,-2
CAN vs BIH,"June 12, 2026",CAN,Nikola Katić,Yellow,90+3,-2
CAN vs BIH,"June 12, 2026",CAN,Ermedin Demirović,Yellow,44,-2
CAN vs BIH,"June 12, 2026",CAN,Jovo Lukić,Yellow,45+1,-2
,,,Alistair Johnston,Yellow,11,0
,,,Luc de Fougerolles,Yellow,53,0
,,,Nikola Katić,Yellow,90+3,0
,,,Ermedin Demirović,Yellow,44,0
,,,Jovo Lukić,Yellow,45+1,0
,"June 13, 2026",,Mahmud Abunada,Yellow,14,0
,"June 13, 2026",,Jassem Gaber,Yellow,23,0
,"June 13, 2026",,Denis Zakaria,Yellow,42,0
,,,Mahmud Abunada,Yellow,14,0
,,,Jassem Gaber,Yellow,23,0
,,,Denis Zakaria,Yellow,42,0
,"June 12, 2026",,Tyler Adams,Yellow,59,0
,"June 12, 2026",,Juan José Cáceres,Yellow,9,0
,"June 12, 2026",,Júnior Alonso,Yellow,90+3,0
,"June 12, 2026",,Diego Gómez,Yellow,79,0
,"June 12, 2026",,Miguel Almirón,Yellow,53,0
,"June 12, 2026",,Álex Arce,Yellow,88,0
,,,Tyler Adams,Yellow,59,0
,,,Juan José Cáceres,Yellow,9,0
,,,Júnior Alonso,Yellow,90+3,0
,,,Diego Gómez,Yellow,79,0
,,,Miguel Almirón,Yellow,53,0
,,,Álex Arce,Yellow,88,0
,"June 13, 2026",,Yunus Akgün,Yellow,86,0
,,,Yunus Akgün,Yellow,86,0
